case_id,shape,spacing
BraTS-GLI-00005-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00005-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00008-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00008-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00008-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00008-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00033-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00033-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00063-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00063-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00463-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00463-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00498-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00498-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00507-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00507-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00517-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00517-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00528-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00528-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00529-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00529-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00533-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00533-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00548-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00548-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00553-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00553-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00556-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-00556-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02060-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02060-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02062-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
